,name,location,price,price_for,room_type,beds,rating,rating_title,number_of_ratings,url,cm
53,Desert Rose,Hail Show on map,SAR 225,"1 night, 2 adults",Economy Triple Room,3 single beds,7.5,Good,"1,076 reviews","/hotel/sa/desert-rose-hail.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=774c1378bf15f17e07dc19bb9edb7bac&all_sr_blocks=230226702_270401997_3_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=1127&highlighted_blocks=230226702_270401997_3_0_0&hpos=27&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=230226702_270401997_3_0_0__22500&srepoch=1634486163&srpvid=766a700927ff0045&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
0,Novotel Riyadh Al Anoud,"Al Olaya, Riyadh Show on map",SAR 360,"1 night, 1 adult",Superior Queen Room,1 large double bed,7.2,Good,"2,943 reviews","/hotel/sa/novotel-alanoud.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=4806601_246094890_2_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=51&highlighted_blocks=4806601_246094890_2_42_0&hpos=1&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=4806601_246094890_2_42_0__36000&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
1,Centro Waha by Rotana,Riyadh Show on map,SAR 450,"1 night, 1 adult",Standard Twin Room,2 single beds,7.5,Good,"6,614 reviews","/hotel/sa/centro-waha.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=239972402_148407719_0_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=52&highlighted_blocks=239972402_148407719_0_42_0&hpos=2&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=239972402_148407719_0_42_0__45000&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
2,Novotel Yanbu Albahr,Yanbu Show on map,SAR 480,"1 night, 1 adult",Superior Double Room,1 double bed,8.0,Very good,"2,591 reviews","/hotel/sa/novotel-yanbu.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=184260013_119191233_2_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=53&highlighted_blocks=184260013_119191233_2_42_0&hpos=3&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=184260013_119191233_2_42_0__48000&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
3,Mövenpick Hotel City Star Jeddah,Jeddah Show on map,SAR 440,"1 night, 1 adult",Superior King Room,1 extra-large double bed,8.5,Very good,"1,614 reviews","/hotel/sa/movenpick-city-star-jeddah.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=178642615_246093435_2_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=54&highlighted_blocks=178642615_246093435_2_42_0&hpos=4&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=178642615_246093435_2_42_0__44000&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
4,"Holiday Inn Meydan, an IHG Hotel","Al Olaya, Riyadh Show on map",SAR 285,"1 night, 1 adult",Standard Room,1 double bed,7.6,Good,"2,406 reviews","/hotel/sa/holiday-inn-meydan.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=54814702_244936451_1_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=55&highlighted_blocks=54814702_244936451_1_42_0&hpos=5&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=54814702_244936451_1_42_0__28500&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
5,"Holiday Inn Riyadh Al Qasr, an IHG Hotel","Al Olaya, Riyadh Show on map",SAR 375,"1 night, 1 adult",Standard Room,2 single beds,7.2,Good,"4,162 reviews","/hotel/sa/holiday-inn-riyadh-al-qasr.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=18774327_94785589_3_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=56&highlighted_blocks=18774327_94785589_3_42_0&hpos=6&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=18774327_94785589_3_42_0__37500&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
6,Dar Al Asalah Hotel-Apartments,Hotat bani tamim Show on map,SAR 200,"1 night, 1 adult",One-Bedroom Apartment,1 large double bed,7.8,Good,55 reviews,"/hotel/sa/dr-l-sl-llshqq-lfndqy.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=292752901_225530618_2_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=57&highlighted_blocks=292752901_225530618_2_0_0&hpos=7&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=292752901_225530618_2_0_0__20000&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
7,Four Points by Sheraton Makkah Al Naseem,Makkah Show on map,SAR 149,"1 night, 1 adult",King Room,1 extra-large double bed,8.5,Very good,"13,389 reviews","/hotel/sa/four-points-by-sheraton-makkah-al-naseem.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=388944506_274564672_0_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=58&highlighted_blocks=388944506_274564672_0_2_0&hpos=8&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=388944506_274564672_0_2_0__14900&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
8,أجنحة سالين - للوحدات السكنية المفروشة,As Suwayfilah Show on map,SAR 99,"1 night, 1 adult",Double Room with Private Bathroom,1 large double bed,5.9,Review score,53 reviews,"/hotel/sa/salyn-suites-llwhdt-lskny-lmfrwsh.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=755837401_332462892_2_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=59&highlighted_blocks=755837401_332462892_2_0_0&hpos=9&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=755837401_332462892_2_0_0__9900&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
9,رمال الجزيره,Al Ḩawīyah Show on map,SAR 170,"1 night, 1 adult",One-Bedroom Apartment,1 large double bed,6.3,Review score,153 reviews,"/hotel/sa/rml-ljzyr-llwhdt-lskny.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=513828603_335376182_2_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=60&highlighted_blocks=513828603_335376182_2_2_0&hpos=10&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=513828603_335376182_2_2_0__17000&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
10,M Hotel Makkah by Millennium,Makkah Show on map,SAR 120,"1 night, 1 adult",Standard Twin Room,2 single beds,7.8,Good,"5,301 reviews","/hotel/sa/m-makkah-by-millennium.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=202914601_95811313_0_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=61&highlighted_blocks=202914601_95811313_0_2_0&hpos=11&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=202914601_95811313_0_2_0__12000&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
11,Carawan Hotel Jeddah - Al Naeem Near Al Danube Market in Madina Road,Jeddah Show on map,SAR 270,"1 night, 1 adult",Standard Twin Room,2 single beds,8.0,Very good,"1,124 reviews","/hotel/sa/crown-al-naeem-jd.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=443656109_194326652_2_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=62&highlighted_blocks=443656109_194326652_2_2_0&hpos=12&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=443656109_194326652_2_2_0__27000&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
12,نظرة للشقق الفندقية,Raʼs Munaysif Show on map,SAR 436,"1 night, 1 adult",One-Bedroom Apartment,2 double beds,7.9,Good,10 reviews,"/hotel/sa/nzr-llshqq-lfndqy.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=775448501_337971689_2_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=63&highlighted_blocks=775448501_337971689_2_0_0&hpos=13&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=775448501_337971689_2_0_0__43553&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
13,Riyadh Marriott Hotel,Riyadh Show on map,SAR 425,"1 night, 1 adult","Guest Room, 1 King",1 extra-large double bed,7.6,Good,895 reviews,"/hotel/sa/riyadh-marriott.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=7459102_94288383_2_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=64&highlighted_blocks=7459102_94288383_2_2_0&hpos=14&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=7459102_94288383_2_2_0__42500&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
14,Novotel Suites Riyadh Olaya,"Al Olaya, Riyadh Show on map",SAR 400,"1 night, 1 adult",Junior King Suite,1 extra-large double bed,7.2,Good,"1,558 reviews","/hotel/sa/mena-plaza.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=37110710_243603587_2_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=65&highlighted_blocks=37110710_243603587_2_42_0&hpos=15&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=37110710_243603587_2_42_0__40000&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
15,"Holiday Inn Riyadh Izdihar, an IHG Hotel",Riyadh Show on map,SAR 325,"1 night, 1 adult",Standard Double Room - Non-Smoking,1 extra-large double bed,7.8,Good,"1,487 reviews","/hotel/sa/holiday-inn-riyadh-izdihar.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=4468412_279753000_1_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=66&highlighted_blocks=4468412_279753000_1_0_0&hpos=16&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=4468412_279753000_1_0_0__32500&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
16,Hyatt House Jeddah Sari Street,"Al Salamah, Jeddah Show on map",SAR 425,"1 night, 1 adult",Twin Studio,2 single beds,8.4,Very good,"2,287 reviews","/hotel/sa/hyatt-house-jeddah-sari-street.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=431413502_137828346_2_1_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=67&highlighted_blocks=431413502_137828346_2_1_0&hpos=17&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=431413502_137828346_2_1_0__42500&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
17,Sheraton Riyadh Hotel & Towers,"Al Worood, Riyadh Show on map",SAR 495,"1 night, 1 adult","Classic Room, Guest room, 1 Queen",1 large double bed,8.0,Very good,849 reviews,"/hotel/sa/sheraton-riyadh-towers.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=7949713_246421278_2_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=68&highlighted_blocks=7949713_246421278_2_2_0&hpos=18&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=7949713_246421278_2_2_0__49500&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
18,Executives Hotel - Olaya,"Al Olaya, Riyadh Show on map",SAR 473,"1 night, 1 adult",Standard King Room,1 extra-large double bed,7.9,Good,"5,475 reviews","/hotel/sa/executives.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=19161101_87916660_0_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=69&highlighted_blocks=19161101_87916660_0_2_0&hpos=19&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=19161101_87916660_0_2_0__47250&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
19,Etlalet Al-Sharm Apartments,Yanbu Show on map,SAR 450,"1 night, 1 adult",Two-Bedroom Apartment,"6 beds
(5 singles, 1 sofa bed)",7.8,Good,209 reviews,"/hotel/sa/tll-lshrm-llshqq-lmfrwsh.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=324995309_241255777_5_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=70&highlighted_blocks=324995309_241255777_5_0_0&hpos=20&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=324995309_241255777_5_0_0__45000&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
20,Lafontaine Jeddah Hotel,Jeddah Show on map,SAR 189,"1 night, 1 adult",Deluxe Twin Room,2 single beds,6.8,Review score,"1,210 reviews","/hotel/sa/lafontaine-jeddah.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=57552701_276660595_1_1_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=71&highlighted_blocks=57552701_276660595_1_1_0&hpos=21&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=57552701_276660595_1_1_0__18900&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
21,Jabal Omar Hyatt Regency Makkah,Makkah Show on map,SAR 600,"1 night, 1 adult",Twin Room,2 single beds,8.4,Very good,"20,622 reviews","/hotel/sa/hyatt-regency-makkah.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=139642718_327160889_2_34_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=72&highlighted_blocks=139642718_327160889_2_34_0&hpos=22&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=139642718_327160889_2_34_0__60000&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
22,Lara Al Jawf Hotel Apartments,Arar Show on map,SAR 158,"1 night, 1 adult",Standard Apartment,2 single beds,7.9,Good,283 reviews,"/hotel/sa/lara-al-jawf-apartments-arar.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=208540102_95594689_2_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=73&highlighted_blocks=208540102_95594689_2_0_0&hpos=23&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=208540102_95594689_2_0_0__15840&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
23,Golden Tulip Buraidah Al Qassim,Buraydah Show on map,SAR 405,"1 night, 1 adult",Standard Twin Room,,7.5,Good,"1,182 reviews","/hotel/sa/golden-tulip-buraidah.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=29945514_97916949_2_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=74&highlighted_blocks=29945514_97916949_2_42_0&hpos=24&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=29945514_97916949_2_42_0__40500&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
24,Ibis Jeddah Malik Road,"King Abdul Aziz Road, Jeddah Show on map",SAR 289,"1 night, 1 adult",Standard Twin Room,2 single beds,7.9,Good,"2,579 reviews","/hotel/sa/ibis-jeddah-malik-road.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=457009802_182953934_2_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=75&highlighted_blocks=457009802_182953934_2_2_0&hpos=25&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=457009802_182953934_2_2_0__28900&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
0,Centro Salama Jeddah by Rotana,"Al Salamah, Jeddah Show on map",SAR 346,"1 night, 1 adult",Queen Room,1 large double bed,7.9,Good,"3,441 reviews","/hotel/sa/centro-salama-jeddah-by-rotana.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=5f777d632ee09d807923924f4e162f5a&all_sr_blocks=328090001_240031252_0_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=76&highlighted_blocks=328090001_240031252_0_42_0&hpos=1&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=328090001_240031252_0_42_0__34600&srepoch=1634409791&srpvid=a54c839f75ff0034&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
1,"Crowne Plaza Madinah, an IHG Hotel","Central Madinah, Al Madinah Show on map",SAR 345,"1 night, 1 adult",Standard Room,,8.1,Very good,"3,669 reviews","/hotel/sa/crown-plaza-medina.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=5f777d632ee09d807923924f4e162f5a&all_sr_blocks=54715339_86436960_2_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=77&highlighted_blocks=54715339_86436960_2_2_0&hpos=2&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=54715339_86436960_2_2_0__34500&srepoch=1634409791&srpvid=a54c839f75ff0034&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
2,JEDDAH PALACE,Jeddah Show on map,SAR 150,"1 night, 1 adult",Deluxe King Room,1 extra-large double bed,6.9,Review score,390 reviews,"/hotel/sa/jeddah-palace.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=5f777d632ee09d807923924f4e162f5a&all_sr_blocks=508211907_273125899_2_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=78&highlighted_blocks=508211907_273125899_2_0_0&hpos=3&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=508211907_273125899_2_0_0__15000&srepoch=1634409791&srpvid=a54c839f75ff0034&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
3,Tulip Inn Al Dar Rawafed,"Central Madinah, Al Madinah Show on map",SAR 280,"1 night, 1 adult",King Room with City View,1 extra-large double bed,7.9,Good,"2,227 reviews","/hotel/sa/tulip-inn-al-dar-madinah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=5f777d632ee09d807923924f4e162f5a&all_sr_blocks=472717903_150595856_2_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=79&highlighted_blocks=472717903_150595856_2_2_0&hpos=4&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=472717903_150595856_2_2_0__28000&srepoch=1634409791&srpvid=a54c839f75ff0034&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
4,"Holiday Inn Jeddah Al Salam, an IHG Hotel",Jeddah Show on map,SAR 301,"1 night, 1 adult",Leisure King Room with Pool View - Smoking,1 extra-large double bed,7.4,Good,"1,913 reviews","/hotel/sa/al-salam-holiday-inn-jeddah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=5f777d632ee09d807923924f4e162f5a&all_sr_blocks=7840726_95182181_2_41_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=80&highlighted_blocks=7840726_95182181_2_41_0&hpos=5&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=7840726_95182181_2_41_0__30100&srepoch=1634409791&srpvid=a54c839f75ff0034&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl",
